Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
10,Text,01/08/1989,The King James Version of the Bible,en,,Bible,BS,Banned Books List from the American Library Association
17,Text,25/06/2008,"The Book of Mormon
An Account Written by the Hand of Mormon, Upon Plates Taken from the Plates of Nephi",en,"Church of Jesus Christ of Latter-day Saints; Smith, Joseph, Jr., 1805-1844",Church of Jesus Christ of Latter-day Saints -- Sacred books; Mormon Church -- Sacred books,BX,Christianity; Latter Day Saints
30,Text,01/04/1992,"The Bible, King James Version, Complete",en,,Bible,BS,
59,Text,01/03/1993,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,en,"Descartes, René, 1596-1650; Veitch, John, 1829-1894 [Translator]",Science -- Methodology; Methodology,B,Harvard Classics; Philosophy
124,Text,01/04/1994,"Deuterocanonical Books of the Bible
Apocrypha",en,Anonymous,Bible. Apocrypha; Apocryphal books (Old Testament),BS,Christianity
130,Text,01/05/1994,Orthodoxy,en,"Chesterton, G. K. (Gilbert Keith), 1874-1936","Apologetics; Chesterton, G. K. (Gilbert Keith), 1874-1936; Christianity -- Essence, genius, nature",BR,Christianity
162,Text,01/09/1994,Take Me for a Ride: Coming of Age in a Destructive Cult,en,"Laxer, Mark E.","Lenz, Frederick, 1950-; Cults -- United States",BL,
216,Text,01/02/1995,"The Tao Teh King, or the Tao and its Characteristics",en,"Laozi; Legge, James, 1815-1897 [Translator]","Philosophy, Chinese; Taoism -- Sacred books",BL,Paganism
272,Text,01/06/1995,An Open Letter on Translating,en,"Luther, Martin, 1483-1546; Mann, Gary [Translator]",Reformation -- Germany; Bible -- Translating,BR,Christianity
273,Text,01/06/1995,The Smalcald Articles,en,"Luther, Martin, 1483-1546; Bente, F. (Friedrich), 1858-1930 [Translator]; Dau, W. H. T. (William Herman Theodore), 1864-1944 [Translator]",Lutheran Church -- Doctrines -- Early works to 1800; Lutheran Church -- Relations -- Catholic Church -- Early works to 1800; Catholic Church -- Relations -- Lutheran Church -- Early works to 1800; Lutheran Church -- Creeds -- Early works to 1800,BX,Christianity
274,Text,01/06/1995,Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences,en,"Luther, Martin, 1483-1546",Indulgences; Reformation -- Germany -- Sources,BR,Christianity; Harvard Classics; Banned Books from Anne Haight's list
275,Text,29/06/2008,"The Augsburg Confession
The confession of faith, which was submitted to His Imperial Majesty Charles V at the diet of Augsburg in the year 1530",en,"Melanchthon, Philipp, 1497-1560","Lutheran Church -- Doctrines; Theology, Doctrinal",BX,
281,Text,01/06/1995,Father Damien: An Open Letter to the Reverend Dr. Hyde of Honolulu,en,"Stevenson, Robert Louis, 1850-1894","Damien, Saint, Father, 1840-1889",BX,
368,Text,29/06/2008,Acres of Diamonds: Our Every-day Opportunities,en,"Conwell, Russell H., 1843-1925; Shackleton, Robert, 1860-1923 [Contributor]","Success; Temple University; Conwell, Russell H., 1843-1925",BJ,
398,Text,01/01/1996,The First Book of Adam and Eve,en,"Platt, Rutherford Hayes, 1894-1975",Apocryphal books (Old Testament); Adam (Biblical figure); Eve (Biblical figure),BS,Christianity
417,Text,01/02/1996,"Dr. Martin Luther's Deutsche Geistliche Lieder
The Hymns of Martin Luther Set to Their Original Melodies, With an English Version",de; en,"Luther, Martin, 1483-1546; Allen, Nathan H. (Nathan Hale), 1848-1925 [Editor]; Bacon, Leonard Woolsey, 1830-1907 [Editor]","Hymns, German; Lutheran Church -- Hymns",BX,Christianity
418,Text,01/02/1996,A Treatise on Good Works,en,"Luther, Martin, 1483-1546; Reu, Johann Michael, 1869-1943 [Translator]",Lutheran Church -- Doctrines; Good works (Theology),BR,Christianity
439,Text,01/02/1996,The Vital Message,en,"Doyle, Arthur Conan, 1859-1930",Spiritualism,BF,
448,Text,01/02/1996,The Psychology of Revolution,en,"Le Bon, Gustave, 1841-1931","Revolutions; Social psychology; France -- History -- Revolution, 1789-1799 -- Causes",BF; DC,Psychology
449,Text,01/03/1996,"Pathology of Lying, Accusation, and Swindling: A Study in Forensic Psychology",en,"Healy, Mary Tenney; Healy, William, 1869-1963",Criminal psychology; Swindlers and swindling,BF,Psychology
455,Text,01/03/1996,The University of Hard Knocks,en,"Parlette, Ralph Albert, 1870-1930",Success; Conduct of life; Character,BJ,
505,Text,01/04/1996,History of the Warfare of Science with Theology in Christendom,en,"White, Andrew Dickson, 1832-1918",Religion and science -- History,BL,
563,Text,01/06/1996,"The Planet Mars and Its Inhabitants, a Psychic Revelation",en,"Kennon, J. L.",Spiritualism; Mars (Planet) -- Miscellanea,BF,
570,Text,01/06/1996,"The Moravians in Georgia, 1735-1740",en,"Fries, Adelaide L. (Adelaide Lisetta), 1871-1949",Moravians -- Georgia,BX,
607,Text,01/07/1996,Die Augsburger Confession,de; la,"Melanchthon, Philipp, 1497-1560","Lutheran Church -- Doctrines; Theology, Doctrinal",BX,DE Sachbuch
616,Text,01/08/1996,"Prayers Written At Vailima, and A Lowden Sabbath Morn",en,"Stevenson, Robert Louis, 1850-1894; Stevenson, Fanny Van de Grift, 1840-1914 [Author of introduction, etc.]","Stevenson, Robert Louis, 1850-1894 -- Travel -- Samoan Islands; Prayers; Sabbath -- Poetry",BV; PR,Christianity
621,Text,01/08/1996,The Varieties of Religious Experience: A Study in Human Nature,en,"James, William, 1842-1910","Religion; Psychology, Religious; Philosophy and religion; Conversion; Experience (Religion)",BL,
639,Text,01/08/1996,"The God-Idea of the Ancients; Or, Sex in Religion",en,"Gamble, Eliza Burt, 1841-1920",Religion; Women and religion; Sex -- Religious aspects,BL,
743,Text,01/12/1996,"Thoughts on Man, His Nature, Productions and Discoveries
Interspersed with Some Particulars Respecting the Author",en,"Godwin, William, 1756-1836",Human beings; Psychology -- Early works to 1850,BF,
825,Text,01/02/1997,"Latin Vulgate, Bible Book Titles and Names",la,Anonymous,Bible,BS,Christianity
826,Text,01/02/1997,"Latin Vulgate, Esther: Liber Esther",la,Anonymous,Bible. Esther,BS,Christianity
827,Text,01/02/1997,"Latin Vulgate, Esther: Liber Esther",la,Anonymous,Bible. Esther,BS,Christianity
828,Text,01/02/1997,"Latin Vulgate, Daniel: Prophetia Danielis",la,Anonymous,Bible. Daniel,BS,Christianity
